iter	RMSE
0	4.300464155
1	4.043983416
2	3.815004872
3	3.660991018
4	3.479331102
5	3.310454586
6	3.152589406
7	3.008390569
8	2.892168073
9	2.773006999
10	2.672610916
11	2.586670096
12	2.497893054
13	2.408768495
14	2.33171957
15	2.278375767
16	2.21951289
17	2.171030078
18	2.112539271
19	2.067461245
20	2.028729857
21	1.991615603
22	1.953710079
23	1.922943012
24	1.893829486
25	1.869426215
26	1.853135838
27	1.829671995
28	1.808272155
29	1.785930591
30	1.767042994
31	1.752969607
32	1.73679524
33	1.712491485
34	1.691466789
35	1.684202797
36	1.662778388
37	1.644673427
38	1.633879456
39	1.613342157
40	1.603393624
41	1.592424585
42	1.585927005
43	1.576909881
44	1.549622943
45	1.534254678
46	1.523968008
47	1.511507241
48	1.493451889
49	1.487822817
50	1.47056869
51	1.459371844
52	1.449518537
53	1.432830531
54	1.428582656
55	1.419935442
56	1.410081412
57	1.391322045
58	1.375318653
59	1.362359281
60	1.357569764
61	1.34918391
62	1.328540306
63	1.324262444
64	1.31652648
65	1.310407485
66	1.296770418
67	1.290067667
68	1.278484158
69	1.27162172
70	1.264742258
71	1.25700045
72	1.247854897
73	1.241818598
74	1.234900654
75	1.227634438
76	1.222187367
77	1.217944351
78	1.211891451
79	1.206728443
80	1.200422931
81	1.195655314
82	1.19025633
83	1.185824705
84	1.182738387
85	1.179666839
86	1.176563939
87	1.172152541
88	1.163796275
89	1.161307891
90	1.157775564
91	1.152408779
92	1.151416274
93	1.145065567
94	1.139452479
95	1.132026319
96	1.123960125
97	1.118355722
98	1.116036817
99	1.111617339
