iter	Passed	Remaining
0	62	62915
1	64	32127
2	65	21852
3	66	16659
4	68	13551
5	69	11440
6	70	9936
7	71	8850
8	72	8032
9	74	7373
10	75	6818
11	79	6566
12	81	6159
13	82	5804
14	84	5521
15	85	5252
16	86	5012
17	90	4945
18	92	4772
19	93	4597
20	95	4438
21	96	4299
22	98	4164
23	98	4024
24	99	3893
25	100	3771
26	102	3681
27	103	3593
28	104	3510
29	106	3431
30	107	3357
31	108	3289
32	109	3220
33	111	3161
34	112	3105
35	113	3051
36	115	3000
37	116	2950
38	117	2903
39	119	2858
40	119	2803
41	121	2763
42	122	2724
43	123	2679
44	124	2636
45	124	2589
46	126	2555
47	128	2538
48	129	2511
49	130	2485
50	132	2458
51	134	2458
52	136	2434
53	137	2411
54	139	2403
55	140	2374
56	141	2347
57	142	2316
58	143	2290
59	144	2263
60	145	2241
61	146	2217
62	147	2195
63	148	2173
64	150	2161
65	151	2141
66	152	2126
67	153	2107
68	154	2087
69	155	2069
70	156	2048
71	157	2030
72	158	2016
73	159	2001
74	160	1983
75	161	1967
76	162	1952
77	163	1935
78	164	1919
79	165	1903
80	166	1886
81	167	1870
82	167	1853
83	168	1838
84	169	1823
85	170	1809
86	171	1795
87	172	1783
88	172	1769
89	173	1756
90	174	1743
91	175	1731
92	176	1720
93	177	1709
94	178	1697
95	179	1686
96	179	1674
97	180	1664
98	181	1654
99	182	1644
100	183	1634
101	184	1623
102	185	1612
103	185	1602
104	186	1592
105	187	1583
106	188	1574
107	189	1564
108	190	1555
109	191	1546
110	192	1538
111	192	1527
112	193	1518
113	194	1509
114	194	1499
115	195	1490
116	196	1482
117	197	1473
118	197	1464
119	198	1456
120	199	1448
121	200	1440
122	201	1433
123	201	1426
124	202	1418
125	203	1410
126	204	1402
127	204	1395
128	205	1388
129	206	1382
130	207	1374
131	207	1367
132	208	1361
133	209	1356
134	210	1349
135	211	1343
136	212	1336
137	212	1329
138	213	1323
139	214	1317
140	215	1311
141	215	1304
142	216	1299
143	217	1292
144	218	1286
145	219	1281
146	219	1275
147	220	1270
148	221	1265
149	222	1259
150	223	1254
151	223	1249
152	224	1245
153	225	1240
154	226	1235
155	227	1231
156	228	1226
157	229	1223
158	230	1221
159	232	1219
160	233	1214
161	233	1209
162	234	1205
163	235	1201
164	236	1195
165	237	1191
166	237	1186
167	238	1182
168	239	1178
169	240	1174
170	241	1170
171	242	1165
172	242	1161
173	243	1156
174	244	1152
175	244	1145
176	245	1140
177	246	1136
178	246	1132
179	247	1129
180	248	1124
181	249	1120
182	250	1116
183	250	1112
184	251	1108
185	252	1104
186	253	1100
187	254	1097
188	254	1093
189	255	1089
190	256	1085
191	257	1082
192	257	1078
193	258	1075
194	259	1071
195	260	1067
196	260	1063
197	261	1059
198	262	1055
199	262	1051
200	263	1048
201	264	1045
202	265	1041
203	266	1038
204	266	1034
205	267	1031
206	268	1028
207	269	1024
208	269	1021
209	270	1017
210	271	1014
211	272	1011
212	273	1010
213	274	1007
214	274	1003
215	275	1000
216	276	997
217	277	994
218	278	991
219	278	988
220	279	985
221	280	982
222	281	979
223	281	976
224	282	973
