iter	Passed	Remaining
0	55	55393
1	58	28975
2	64	21431
3	68	17180
4	71	14139
5	73	12246
6	75	10739
7	77	9648
8	80	8858
9	82	8147
10	83	7529
11	85	7037
12	86	6599
13	88	6235
14	89	5908
15	91	5621
16	93	5425
17	95	5201
18	97	5009
19	98	4834
20	100	4672
21	102	4538
22	104	4437
23	106	4313
24	107	4189
25	108	4083
26	110	3979
27	111	3877
28	112	3783
29	114	3693
30	115	3612
31	116	3536
32	118	3467
33	119	3401
34	121	3352
35	123	3294
36	124	3242
37	125	3187
38	127	3131
39	128	3085
40	130	3062
41	131	3003
42	133	2960
43	134	2922
44	135	2885
45	137	2848
46	138	2813
47	140	2785
48	141	2752
49	142	2715
50	144	2681
51	145	2652
52	147	2627
53	148	2601
54	149	2577
55	152	2573
56	155	2565
57	156	2544
58	157	2518
59	159	2503
60	161	2478
61	162	2456
62	164	2445
63	166	2440
64	168	2430
65	170	2419
66	171	2392
67	174	2384
68	175	2371
69	177	2359
70	179	2349
71	181	2339
72	182	2322
73	183	2298
74	184	2279
75	186	2261
76	187	2243
77	189	2234
78	190	2220
79	192	2208
80	193	2195
81	194	2179
82	198	2188
83	200	2183
84	201	2172
85	203	2162
86	205	2152
87	206	2138
88	207	2123
89	208	2110
90	210	2099
91	212	2100
92	214	2093
93	216	2086
94	218	2083
95	221	2081
96	222	2072
97	224	2066
98	225	2056
99	226	2040
100	229	2044
101	232	2044
102	234	2046
103	237	2046
104	239	2041
105	241	2034
106	244	2038
107	248	2055
108	251	2052
109	252	2041
110	254	2035
111	255	2025
112	256	2015
113	258	2009
114	259	2000
115	260	1988
116	262	1978
117	263	1967
118	264	1956
119	265	1945
120	266	1936
121	267	1926
122	268	1916
123	270	1908
124	271	1903
125	273	1895
126	274	1886
127	275	1878
128	277	1870
129	278	1862
130	279	1854
131	281	1851
132	283	1845
133	284	1838
134	286	1834
135	288	1830
136	289	1823
137	290	1815
138	291	1808
139	293	1802
140	295	1798
141	296	1793
142	298	1789
143	300	1783
144	301	1776
145	302	1769
146	305	1769
147	306	1765
148	308	1759
149	309	1753
150	310	1746
151	313	1746
152	314	1741
153	315	1735
154	317	1730
155	318	1724
156	320	1722
157	322	1718
158	323	1712
159	325	1707
160	326	1703
161	328	1700
162	329	1693
163	331	1688
164	332	1682
165	334	1678
166	336	1676
167	338	1678
168	340	1673
169	342	1670
170	343	1667
171	345	1664
172	347	1660
173	348	1654
174	349	1649
175	351	1647
176	353	1642
177	354	1636
178	356	1633
179	358	1631
180	364	1650
181	367	1650
182	369	1648
183	371	1646
184	373	1644
185	375	1643
186	377	1640
187	379	1639
188	382	1639
189	384	1637
190	388	1644
191	390	1642
192	391	1639
193	393	1636
194	397	1639
195	399	1637
196	401	1637
197	403	1633
198	404	1628
199	405	1623
200	407	1619
201	409	1615
202	410	1610
203	414	1616
204	418	1622
205	420	1620
206	421	1616
207	423	1613
208	426	1613
209	428	1613
210	430	1610
211	432	1608
212	434	1607
213	436	1604
214	438	1602
